com.asiainfo.aipay.bank.service.interfaces.IAlipayBusiProcSV com.asiainfo.aipay.bank.service.interfaces.IAlipayBusiProcSV
com.asiainfo.aipay.cm.service.interfaces.IUpgBatchSV com.asiainfo.aipay.cm.service.interfaces.IUpgBatchSV
com.asiainfo.aipay.teaminvoke.out.service.interfaces.IBsQuickPaySV com.asiainfo.aipay.teaminvoke.out.service.interfaces.IBsQuickPaySV
com.asiainfo.aipay.teaminvoke.out.service.interfaces.IBsSignContractSV com.asiainfo.aipay.teaminvoke.out.service.interfaces.IBsSignContractSV
com.asiainfo.aipay.teaminvoke.out.service.interfaces.IPhoneAppSV com.asiainfo.aipay.teaminvoke.out.service.interfaces.IPhoneAppSV
IAlipayBusiProcSV.fileDownload IBsMerchantInfoSV.getMerchantInfo
IBsChangeContractSV.cancelContract IBankInterSV.cancelContract
IBsChangeContractSV.cancelContract ICommonSV.getNewSequence
IBsChangeContractSV.cancelContract IContractInterSV.queryContarctInfos
IBsChangeContractSV.cancelContract IContractInterSV.realtimiCalculatePri
IBsChangeContractSV.cancelContract IContractInterSV.stopContract
IBsChangeContractSV.cancelContract IOrderInterSV.getNewUpgSeq
IBsChangeContractSV.cancelContract IOrderInterSV.qryOrderValueByOrderId
IBsChangeContractSV.cancelContract IOrderInterSV.saveBusiLogValue
IBsChangeContractSV.cancelContract IOrderInterSV.saveOrder
IBsChangeContractSV.cancelContract IOrderInterSV.updateOrderValue
IBsChangeContractSV.cancelContract IPayNoticeSV.noticeBind2plat
IBsChangeContractSV.cancelContract ISafeInterSV.checkUpgCaptcha
IBsChangeContractSV.cancelContract IUpgAgreementSycnSV.addSycnRecord
IBsChangeContractSV.cancelContract IUpgBusiLogSV.getUpgBusiLog
IBsChangeContractSV.cancelContract IUpgCreditPaymentSV.queryCreditInfo
IBsChangeContractSV.cancelContract IUpgPayStatSV.saveBusiNessStat
IBsChangeContractSV.cancelContract4Bank ICommonSV.getNewSequence
IBsChangeContractSV.cancelContract4Bank IContractInterSV.queryContarctInfos
IBsChangeContractSV.cancelContract4Bank IContractInterSV.realtimiCalculatePri
IBsChangeContractSV.cancelContract4Bank IContractInterSV.stopContract
IBsChangeContractSV.cancelContract4Bank IOrderInterSV.getNewUpgSeq
